artikelnr;karpi_code;omschrijving
911450005;ARCT45XX040040;ARCTIC LIFE Kleur 45 CA: 040x040 cm
911450000;ARCT45XX140200;ARCTIC LIFE KLEUR 45 CA:140x200 cm
911450001;ARCT45XX160230;ARCTIC LIFE KLEUR 45 CA:160x230 cm
911450002;ARCT45XX200240;ARCTIC LIFE KLEUR 45 CA:200x240 cm
911450003;ARCT45XX200290;ARCTIC LIFE KLEUR 45 CA:200x290 cm
001911006;ARCT48200JUT;ARCTIC LIFE KLEUR 48 200 BREED
911489999;ARCT48MAATWERK;ARCT48 MAATWERK
911480004;ARCT48XX020020;ARCTIC LIFE KLEUR 48 CA:020x020 cm
911480000;ARCT48XX140200;ARCTIC LIFE KLEUR 48 CA:140x200 cm
911480002;ARCT48XX200240;ARCTIC LIFE KLEUR 48 CA:200x240 cm
911480003;ARCT48XX200290;ARCTIC LIFE KLEUR 48 CA:200x290 cm
911990000;ARCT99XX160230;ARCTIC LIFE 99 STRIPE CA 160x230 cm
726190000;ARLO19XX200290;ARLO KLEUR 19 CA:200x290 cm
726220000;ARLO22XX160230;ARLO Kleur 22 CA: 160x230 cm
726230000;ARLO23XX200290;ARLO KLEUR 23 CA:200x290 cm
726250000;ARLO25XX200290;ARLO KLEUR 25 CA:200x290 cm
602120003;ARNO12XX155230;ART NOUVEAU Kleur 12 CA: 155x230 cm
001435000;ARON18400LAT;ARON KLEUR 18 BRONS LATEX 400 BR DEURMAT
435189999;ARON18MAATWERK;
435180000;ARON18XX060080;ARON KLEUR 18 CA:060x080 cm
435190000;ARON19XX060080;ARON KLEUR 19 CA:060x080 cm
435230000;ARON23XX060080;ARON KLEUR 23 CA:060x080 cm
435250000;ARON25XX060080;ARON KLEUR 25 CA:060x080 cm
435450000;ARON45XX060080;ARON KLEUR 45 CA:060x080 cm
602990011;ARTI99XX200300;ARTI Kleur 99 CA: 200x300 cm
602990012;ARTI99XX300520;ARTI Kleur 99 CA: 300x520 cm
561220001;ARTO22XX160230;ARTO Kleur 22 CA: 160x230 cm
001334000;ASTO11400JUT;ASTOR KLEUR 11 CREAM 400 BREED Medipa: Topas 2 330 60-cream
334119999;ASTO11MAATWERK;
334110000;ASTO11XX080150;ASTOR Kleur 11 CA: 080x150 cm
334110001;ASTO11XX120170;ASTOR Kleur 11 CA: 120x170 cm
334110004;ASTO11XX120RND;ASTOR Kleur 11 CA: 120 ROND
334110002;ASTO11XX160230;ASTOR Kleur 11 CA: 160x230 cm
334110005;ASTO11XX160RND;ASTOR Kleur 11 CA: 160 ROND
334110003;ASTO11XX200290;ASTOR Kleur 11 CA: 200x290 cm
334110006;ASTO11XX200RND;ASTOR Kleur 11 CA: 200 ROND
001334001;ASTO13400JUT;ASTOR KLEUR 13 BEIGE 400 BREED Medipa: Topas 2 330 70-beige
334139999;ASTO13MAATWERK;
334130000;ASTO13XX080150;ASTOR Kleur 13 CA: 080x150 cm
334130001;ASTO13XX120170;ASTOR Kleur 13 CA: 120x170 cm
